Time,X,Y,Z,i,j,k,q,GX,GY,GZ
1.62,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.65,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.67,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.69,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.72,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.74,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.76,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.78,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.80,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.83,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.85,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.87,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.89,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.92,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.94,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.96,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1.99,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.01,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.03,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.05,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.07,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.10,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.12,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
2.14,46.13,65.25,83.81,0.6649,-0.4652,-0.5112,-0.2834,8.90,-4.07,0.43
2.17,46.19,65.25,83.87,0.6646,-0.4653,-0.5112,-0.2838,8.91,-4.06,0.43
2.19,46.31,65.31,83.81,0.6644,-0.4653,-0.5110,-0.2842,8.91,-4.06,0.43
2.21,46.31,65.31,83.81,0.6645,-0.4653,-0.5110,-0.2843,8.91,-4.06,0.43
2.24,46.31,65.31,83.87,0.6643,-0.4652,-0.5113,-0.2844,8.91,-4.06,0.43
2.26,46.31,65.31,84.00,0.6638,-0.4651,-0.5120,-0.2843,8.91,-4.07,0.42
2.28,46.38,65.31,84.25,0.6633,-0.4652,-0.5125,-0.2844,8.91,-4.07,0.40
2.31,46.44,65.31,84.31,0.6630,-0.4653,-0.5128,-0.2845,8.91,-4.07,0.40
2.33,46.44,65.31,84.31,0.6630,-0.4653,-0.5128,-0.2847,8.91,-4.07,0.40
2.35,46.44,65.31,84.12,0.6633,-0.4650,-0.5125,-0.2849,8.91,-4.06,0.41
2.37,46.50,65.31,84.06,0.6633,-0.4648,-0.5124,-0.2852,8.91,-4.06,0.41
2.40,46.56,65.37,84.06,0.6631,-0.4648,-0.5126,-0.2855,8.91,-4.06,0.41
2.42,46.56,65.37,84.25,0.6627,-0.4649,-0.5130,-0.2855,8.91,-4.06,0.40
2.45,46.63,65.37,84.44,0.6622,-0.4650,-0.5135,-0.2856,8.91,-4.06,0.39
2.47,46.63,65.37,84.50,0.6620,-0.4650,-0.5137,-0.2857,8.91,-4.06,0.39
2.49,46.69,65.37,84.50,0.6620,-0.4648,-0.5137,-0.2858,8.91,-4.06,0.39
2.52,46.69,65.37,84.44,0.6621,-0.4647,-0.5137,-0.2859,8.91,-4.06,0.39
2.54,46.69,65.37,84.37,0.6622,-0.4646,-0.5136,-0.2861,8.91,-4.06,0.39
2.56,46.75,65.37,84.31,0.6620,-0.4647,-0.5135,-0.2865,8.91,-4.05,0.39
2.58,46.81,65.44,84.44,0.6616,-0.4648,-0.5139,-0.2867,8.92,-4.05,0.39
2.61,46.88,65.44,84.56,0.6613,-0.4648,-0.5142,-0.2868,8.92,-4.05,0.38
2.63,46.88,65.44,84.69,0.6609,-0.4648,-0.5145,-0.2868,8.92,-4.05,0.37
2.66,46.88,65.44,84.62,0.6610,-0.4647,-0.5146,-0.2869,8.92,-4.05,0.37
2.68,46.94,65.44,84.56,0.6612,-0.4644,-0.5145,-0.2871,8.91,-4.05,0.38
2.70,46.94,65.44,84.56,0.6612,-0.4644,-0.5145,-0.2872,8.92,-4.05,0.38
2.73,47.00,65.44,84.56,0.6610,-0.4644,-0.5146,-0.2875,8.92,-4.05,0.38
2.75,47.06,65.50,84.62,0.6606,-0.4645,-0.5148,-0.2877,8.92,-4.04,0.37
2.77,47.06,65.50,84.75,0.6602,-0.4647,-0.5152,-0.2878,8.92,-4.04,0.36
2.79,47.06,65.50,84.81,0.6601,-0.4646,-0.5154,-0.2878,8.92,-4.04,0.36
2.82,47.06,65.44,84.81,0.6602,-0.4644,-0.5154,-0.2878,8.92,-4.05,0.36
2.84,47.13,65.44,84.75,0.6603,-0.4642,-0.5153,-0.2880,8.92,-4.05,0.37
2.87,47.13,65.50,84.69,0.6603,-0.4641,-0.5153,-0.2883,8.92,-4.04,0.37
2.89,47.19,65.50,84.69,0.6602,-0.4641,-0.5153,-0.2885,8.92,-4.04,0.37
2.91,47.25,65.50,84.81,0.6598,-0.4643,-0.5156,-0.2886,8.92,-4.04,0.36
2.94,47.25,65.50,84.87,0.6596,-0.4643,-0.5157,-0.2888,8.92,-4.04,0.36
2.96,47.25,65.50,84.87,0.6595,-0.4642,-0.5158,-0.2888,8.92,-4.04,0.36
2.98,47.25,65.50,84.81,0.6597,-0.4641,-0.5157,-0.2889,8.92,-4.04,0.36
3.01,47.25,65.50,84.81,0.6597,-0.4641,-0.5157,-0.2889,8.92,-4.04,0.36
3.03,47.31,65.50,84.81,0.6596,-0.4641,-0.5158,-0.2890,8.92,-4.04,0.36
3.06,47.31,65.56,84.87,0.6593,-0.4641,-0.5161,-0.2892,8.92,-4.04,0.35
3.08,47.38,65.56,84.94,0.6591,-0.4641,-0.5162,-0.2892,8.92,-4.04,0.35
3.10,47.38,65.56,85.00,0.6590,-0.4641,-0.5164,-0.2894,8.92,-4.04,0.35
